Train Loss,Validation Loss,Validation Mean Iou,Validation Mean Accuracy,Validation Overall Accuracy,Validation Accuracy Unlabeled,Validation Accuracy Notlabeled,Validation Accuracy Otherclass,Validation Accuracy Contrail,Validation Iou Unlabeled,Validation Iou Notlabeled,Validation Iou Otherclass,Validation Iou Contrail,Epoch
0.0038,0.0041,0.7516,0.7748,0.9985,0.9612,0.9998,0.8779,0.2605,0.9397,0.9985,0.8395,0.2287,22
0.0035,0.0038,0.7683,0.8089,0.9986,0.9667,0.9997,0.9334,0.3359,0.9356,0.9986,0.8546,0.2843,23
0.0034,0.0037,0.7905,0.8212,0.9986,0.9639,0.9996,0.9182,0.4031,0.9508,0.9986,0.8856,0.327,24
0.0032,0.0037,0.7938,0.8154,0.9987,0.9515,0.9997,0.9112,0.3992,0.9469,0.9987,0.8939,0.3358,25
0.0031,0.0036,0.825,0.8524,0.9988,0.9806,0.9996,0.9431,0.4864,0.9772,0.9988,0.9315,0.3924,26
0.003,0.0035,0.8204,0.8392,0.9987,0.9736,0.9997,0.982,0.4015,0.9736,0.9987,0.9659,0.3435,27
0.0029,0.0033,0.8431,0.8689,0.9988,0.9917,0.9997,0.9834,0.5011,0.991,0.9988,0.9653,0.4172,28
0.0027,0.0034,0.8337,0.8539,0.9988,0.9945,0.9997,0.9875,0.4341,0.9945,0.9988,0.9648,0.3767,29
0.0027,0.0033,0.8518,0.8834,0.9988,1,0.9996,0.9931,0.5411,0.9972,0.9988,0.9802,0.4311,30
0.0025,0.0031,0.8622,0.8848,0.999,0.9986,0.9997,0.9958,0.5449,0.9986,0.999,0.989,0.4622,31
0.0025,0.0031,0.8667,0.8975,0.9989,0.9986,0.9996,0.9986,0.5933,0.9979,0.9989,0.9897,0.4801,32
0.0024,0.0031,0.8607,0.8791,0.999,1,0.9998,0.9986,0.5181,1,0.999,0.9877,0.4563,33
0.0022,0.0031,0.8783,0.9102,0.999,1,0.9996,0.9917,0.6497,1,0.999,0.9876,0.5266,34
0.0022,0.0029,0.878,0.9016,0.9991,1,0.9997,0.9931,0.6138,1,0.9991,0.9903,0.5225,35
0.0022,0.003,0.8853,0.9238,0.9991,1,0.9996,0.9986,0.6969,0.9972,0.9991,0.9965,0.5484,36
0.0021,0.003,0.8859,0.9156,0.9991,1,0.9996,0.9986,0.6641,1,0.9991,0.9979,0.5466,37
0.0021,0.0029,0.8865,0.9165,0.9991,1,0.9997,1,0.6662,0.9993,0.9991,0.9952,0.5526,38
0.0021,0.0028,0.8932,0.9227,0.9992,1,0.9997,0.9986,0.6926,1,0.9992,0.9965,0.5771,39
0.002,0.0029,0.8929,0.9235,0.9992,1,0.9997,0.9986,0.6959,1,0.9992,0.9979,0.5747,40
0.002,0.0028,0.8935,0.9252,0.9992,1,0.9996,0.9986,0.7026,1,0.9991,0.9979,0.5767,41
0.0019,0.0028,0.8934,0.9144,0.9992,1,0.9998,0.9986,0.659,1,0.9992,0.9986,0.5758,42
0.0019,0.0028,0.8945,0.9174,0.9992,1,0.9997,0.9986,0.6713,1,0.9992,0.9979,0.5807,43
0.0018,0.0027,0.9009,0.9327,0.9992,1,0.9997,0.9986,0.7324,1,0.9992,0.9979,0.6065,44
0.0019,0.0027,0.9028,0.9385,0.9992,1,0.9996,1,0.7543,1,0.9992,0.9993,0.6125,45
0.0017,0.0028,0.9048,0.9362,0.9992,1,0.9997,1,0.7453,1,0.9992,1,0.6199,46
0.0017,0.0029,0.9043,0.9362,0.9992,1,0.9997,0.9986,0.7466,1,0.9992,0.9979,0.6202,47
0.0017,0.0027,0.906,0.9365,0.9993,1,0.9997,0.9986,0.7477,1,0.9993,0.9979,0.627,48
0.0016,0.0026,0.9068,0.9377,0.9993,1,0.9997,1,0.7513,1,0.9993,0.9993,0.6286,49
